restaurant_name,cuisines,rating_35
Chez Fanny,French,1
Fresh Pizza,Pizza,1
Le Gaïa,French,1
Camellia Coffea,,1
Auberge De La Futaie,,1
Les 2 Renards,,1
La Bohème Restaurant,,1
Saint Jean Pizzeria,Pizza,1
Le Garage a Papi,Spanish,1
Bistrot D'aurélie,"Bar, Pub",1
La Cuisine des Grames,French,1
Le Cheval Blanc,French,1
La Panzerotteria livraison uniquement,"Italian, Fast food, Deli, Southern-Italian",1
pizza pierrot,"Pizza, Italian, Fast food, European",1
LE CAMION,"Italian, Pizza",1
Phil's Pub,,1
L’Atelier entre nos Murs,Cafe,1
Rotolino Pizza,"Italian, Pizza, Street Food",1
L Atelier du Sandwich,French,1
Hotel de l'Oise,"French, European",1
Pain Medieval Boulangerie,French,1
Susan h,Grill,1
Lou Gust,"Mediterranean, French",1
Le New Leaf,"French, European",1
Sushi & Wok,"Japanese, Asian, Vietnamese, Chinese",1
Le Savoir Faire,French,1
Pizzeria La Rustica,"Italian, Pizza",1
La Pergola,French,1
Tiki Pizza,Pizza,1
Les Etiquettes,"French, Contemporary, Healthy",1
Chez Valentino,"French, Italian",1
Kobo Sushis Maki Bowl Inspirés Du Japon,Asian,1
Casa Gina,,1
Chez Jean-Claude,"French, European, Deli",1
Le Guetreen,,1
L'Oxygene,French,1
Pad Thai,Street Food,1
L'Alexandre 1er,French,1
Restaurant Le Mainsat,,1
L'Aromatique,"French, Healthy",1
La Maison Bleue,French,1
Oxv,French,1
LA FERME COUDERC,French,1
Le Plaisance,French,1
Nino,Italian,1
Marigny Pizza,"Italian, Pizza",1
Au Bon Coin,French,1
La Vendetta,,1
Le Petit Lieslois,French,1
Pizzeria Di Napoli,"Italian, Pizza",1
La Papillote,French,1
Café des Sports Restaurant de Frep,French,1
Le Comptoir de Marius,"French, Cafe, Deli, Contemporary",1
Gang Of Pizza,,1
L'Apeyro Garden,"French, Healthy, Gastropub, Spanish, Pub",1
AvillonsTraiteur,"French, Barbecue, Gastropub",1
les Coûtas,French,1
Food's Saloon,Pizza,1
Subway,,1
La Tour des Pizz',Pizza,1
La Petite Bouff'haye,French,1
A La Fourchette Villabonnaise,French,1
Tyzoly Snack Pizza,Fast food,1
Fours à Pizza,Pizza,1
21 Burger's,American,1
Le pasSage,"Italian, French, Brew Pub, Fast food, Pub",1
P'tite Cuisine,French,1
L'Auberge du Favril,"Italian, French",1
La Récré,French,1
La Cantine du Gueulard,"Italian, French, Indian, International",1
La Cantine d'Eugène,"French, European",1
Lou Nieu D'aïgle,"French, Contemporary",1
Hôtel Le Lion D'or,French,1
Chez Nico's,"Pizza, Fast food, Deli",1
Pizz'a doudou,French,1
Burgers Chef,Fast food,1
MetSaveurs,French,1
Pizza Blanzat,"Pizza, Italian",1
Le  P'tit Verger,French,1
L'Oasis,French,1
Restaurant M,"Gastropub, French",1
Au Grenadier,"French, Cafe, Dining bars",1
Les Canards d'Agathe,French,1
Me Piace Che,Italian,1
Glace de la Ferme,French,1
La ferme de Malice,French,1
Auberge de Montfleury,"French, European",1
Un Passage Au Chateau,French,1
L'Authentik,French,1
Royal Chevannes Saveurs D'Orient,,1
L'hartmonie,"Cafe, Mediterranean, Dining bars",1
Le Mélarie - Pizzeria,Pizza,1
Ferme Auberge du Lochberg,French,1
Chez Floricica,Fast food,1
Brin de Thym,"French, European",1
Chez Justau,French,1
La Diligence,French,1
La Table De Quentin,"Pizza, Dining bars",1
Chez Tchouki,"Fast food, French",1
La Savoureuse,Italian,1
Le Chaudron,Street Food,1
La Tête des Trains,,1
Mare E Stelle,Cafe,1
Camping La Magaudie,French,1
Resto Drive-In,"French, Bar, Cafe, Fast food, Deli, Pub",1
Auberge Coopérative des 3 Rivières,French,1
La Cremaillere,,1
Le Bissy,"Italian, French",1
Pizzeria Reno'Mets,"Italian, Pizza",1
Restobray,French,1
Relais Mets'rié Saveurs,Pizza,1
Le Petit Meyrié,"Bar, Pizza, Pub",1
Auberge de la Roque,French,1
La Cabane,,1
Chez Ma Frangine,"French, International",1
Bistro Vapeur,French,1
Le Rhino's Club,,1
O'cheese,"Fast food, American",1
Les 3 Marmottes,French,1
Restaurant de l'Etoile,French,1
L'ARBRE EN BOIS,French,1
Le Petit C'Amailloux,French,1
Bouledogue Cafe,"Pizza, Italian",1
Le Savignois,"French, European, Gastropub, Pub",1
Aux Choeurs De Bacchus,"French, European, Wine Bar",1
La Cave du Moulin,Wine Bar,1
Resto Ileo,Seafood,1
Bienvenue à Hanoï,"Asian, Vietnamese, Healthy, Thai",1
Le Bouton d'Or,"French, European",1
Boulangerie Au Feu De Bois,French,1
Cigales Pizza,"Italian, Pizza",1
Nonna Lea,"Wine Bar, Southern-Italian, Italian, Mediterranean",1
Le Bistronomique,"French, Pizza, Grill, Seafood",1
Chez Marilyn,Fast food,1
Le Labo de Frédo,"Italian, French, Healthy",1
L'auberge De Braconniers,French,1
Les Mahir,,1
GramGram,,1
Fratelli Centesimo,,1
Pacifico Cevicheria Gourmet ,"Peruvian, Argentinian, Chilean, South American",1
Seb pizza,Pizza,1
Le Vis'o,French,1
Chez PASCAL,"French, Healthy",1
Chez Pascal,French,1
L'Aigue Blanche,"French, Bar, Cafe, Pub, Diner, Dining bars",1
clotilde Pâtisserie,"French, Deli",1
Boulangerie Parmi Nous,French,1
Boulangerie du Cristol Nevache,French,1
ferme auberge du Clot,,1
Barret Patrick,"French, Pizza",1
Les Tables d'en Haut,French,1
Restaurant du Jardin de l'abbaye de Valsaintes,"French, Healthy",1
Pistou Pizza,"Pizza, Italian",1
Le Centifolia,"Mediterranean, Italian, French, Pizza, Cafe",1
Chez Pizza Nino,"French, Pizza, Neapolitan, Campania, Southern-Italian, Italian",1
Past'Alex,,1
Le Bistrot des Vignes,"French, European",1
Pizza Venaissia Sarrians,"Italian, Pizza",1
Brasserie Les Marais,,1
Pizza Palacio,"Pizza, Italian, French",1
Arrêt AuStand,French,1
Mamamia Pizza,"Pizza, Italian",1
La Clef des Champs,French,1
Boulangerie Marie Blachere,,1
Le Regal'on,"French, Bar, Pizza, Pub",1
Chez Annette,,1
C'est Pret,French,1
Toto Tacos,Fast food,1
La Salicorne,French,1
La Zarzette,,1
La P'tite Fringale Champagny,"Bar, Pub, Dining bars",1
Refuge de Plaisance,French,1
Mont Blanc Restaurant & Goûter,"French, European, Contemporary",1
Le Saint Germain,"French, Wine Bar",1
1580m,"International, Beer restaurants",1
Le crot,French,1
Black Diamond Bar and Restaurant,"European, Contemporary",1
Au Pti Creux,,1
Pizzeria du Bargy,"Italian, Pizza",1
Le Pre Benevix,French,1
Misterfood,French,1
La Case a Pizza,"Italian, Pizza",1
Le Chalet du Lac,,1
Ma Cabane à Lavillat,French,1
Le gavroche,French,1
Rock and Blues Café,"French, Deli",1
L'Embuscade,,1
Le Tavaillon,,1
Rest' O Chalet,French,1
"La Maison des bois, Marc Veyrat","French, European",1
Le Grillon,French,1
Relais st pierre,,1
Hot or Not foodtruck,"Mexican, Latin, Fast food, Spanish, Street Food, South American",1
La Table De Marie,"French, European",1
Americain Burger,"Fast food, French, American",1
Ness & café,French,1
Les Tabliers Bleus,French,1
Les Planches,"French, Brew Pub, Seafood, Spanish, Pub, Wine Bar",1
Cafe green garden,"French, American, European",1
Les Artistes,"French, Fusion, Healthy",1
Maison Joseph,"International, Spanish, French, Wine Bar",1
Le paradis,French,1
Agapé Carcassonne,"French, International, European, Fusion, Healthy",1
Brasserie La Maison,French,1
La P'tite Auberge,French,1
Crêperie Le Kérentrée,,1
L'Entre-Pot,"French, Gastropub, European",1
Le Nid D'aigle,French,1
L'Instant Gourmet,French,1
Restaurant La Deuch,French,1
Le Dado,French,1
Le Locavore,"Barbecue, French",1
Les Cluzeaux,French,1
Auberge du Bocage,"French, International, Gastropub",1
Le Relais de l' Epie,"Pizza, French",1
Le Clos de la Tour d'Aubigne,"French, Bar, Cafe, Pub, Gastropub",1
Hôtel restaurant le Café des sports,,1
L'Aloda,,1
Champagne Salmon,"Bar, Pub",1
Opus Food,"French, Deli, Street Food",1
Domaine De Rymska,French,1
Pizzeria Saveurs Latines,"Pizza, Italian",1
Les Re 7 D'Antan,French,1
La Pizz'a Yan,"Italian, Pizza, Fast food",1
Raph'a Elle,French,1
le Singuliers Café-Resto,"Italian, French, American, Brew Pub, Cafe, Pub",1
Salle à Manger,French,1
Brasserie Dulion,French,1
Creperie le Colibri,"French, Cafe, Wine Bar, Dining bars",1
Les Chodouxdoux,"French, International",1
Radicelles,"Healthy, French, Contemporary",1
Bar Le Nord'ic,,1
Le Lieu,"Healthy, Wine Bar, Brew Pub, Contemporary",1
Délices des îles,Cajun & Creole,1
Le Cosy,"Italian, French, Pizza",1
A Fleurs d'Aulps,,1
Le Chalet d'Oz,French,1
Monts & Merveilles - Food Truck & Traiteur,French,1
Speedza,"Italian, Pizza",1
Auberge La Cure,"French, European",1
Hotel Cote Cour,"French, Mediterranean",1
La Table de Cousignac,French,1
Les Gateaux de Tidou,Cafe,1
Cafe Bernard,,1
Café restaurant les oiseaux,"French, Cafe, Contemporary",1
Chez Ghislaine,"French, Bar, European",1
Le Bistrot Des Arts,Pizza,1
Epsilone,"Bar, Cafe, Greek, Fast food",1
Walili,"Moroccan, Mediterranean",1
Le Rendez-Vous des Amis,French,1
Epicurieux,"French, Wine Bar",1
La Renommée,"French, Brew Pub, Pub, Wine Bar",1
Grill Côté Jardin,"Grill, European",1
Le cabanon de sophie,"French, Fast food, European, Albanian",1
Au Jardin des Saveurs,French,1
Le Cigalon,,1
Ferme Auberge de Sisterne,French,1
Le Fournil du Ciron,French,1
L'Atelier des Bistronomes,,1
9 gourmand,,1
Sulla Pasta,"Italian, Pizza, European",1
Le Bonnet Blanc,"French, Bar, Cafe, Fast food, Pub, Eastern European",1
Le Trait d'Union,French,1
L Entrepôt Du Pain,"French, Cafe",1
La Tasse de Meymac,"British, Cafe",1
La Caz A Pizza,"Italian, Pizza, American",1
Poissonnerie Chez Tomy,Seafood,1
Le 13 à L'Aise,Fast food,1
Sushi Asie,,1
Bistrot L'Usine,"Gastropub, French",1
Restaurant Hôtel de la Poste,"French, Cafe",1
After Eight,,1
auberge fumoir d'Ar-Men,"French, Seafood",1
Tout Simplement,"French, Spanish, Diner, Wine Bar",1
Chez La Sosso,French,1
Les Amis D'Oc,"Italian, Pizza, Mediterranean, European",1
Restaurant BK,"French, Mediterranean, European, International, Contemporary",1
La Bonne Pate,Pizza,1
Les Petits Plaisirs d'Asie,"Asian, Chinese, Vietnamese",1
La Cave Au Gerome,"Brew Pub, Fast food, Pub, Wine Bar",1
La Gazza Ladra,Italian,1
Laeti Delices,Soups,1
Amelie,,1
La Sulege,,1
A Funtanedda Livia,"French, Bar, Seafood, Barbecue, Healthy",1
Le salon,"Bar, Pub",1
Le Cafe des Serres,French,1
Aaron pizza,Pizza,1
Serge Barbier,,1
O' délice d'Ommy,,1
Chez Charlotte,French,1
Virginie Cuiz'in,,1
Le Sud,,1
Pizzeria Del Fratés,"Italian, Pizza, Romana, Lazio, Central-Italian",1
Zen Asie,"Asian, Vietnamese",1
Le 35,French,1
Le Keudu,French,1
Enfin Gourmet,French,1
La Cafet' du Club ATO,French,1
Le Sémillant,"French, Italian",1
Les Agapes,,1
L'Attrap' Gourmand,French,1
L'Aromatic,Fast food,1
Chrono pizza,"Pizza, Fast food",1
La Bergerie,,1
Chez Vanneth,Asian,1
La Chevre privadoise,French,1
Boulangerie Gensel,,1
Le Boux du Monde,"French, Contemporary",1
Le Comptoir De Germain,French,1
Les Chenets,French,1
Restaurant Plan D'eau Du Champsaur,"Dining bars, French",1
Les Orgues de la Santoire,"French, Pizza",1
Pizzeria La Regionna,Pizza,1
Snack 88,"French, Fast food",1
Le Totem,French,1
Kiosque à pizza,,1
Restaurant Le 1825 - La Table,French,1
La Bonne Pin'te,"French, Bar, Cafe, Fast food, Pub, Dining bars",1
Le Dé Vert,"French, Bar, Cafe, Deli",1
Joa Pizza,Pizza,1
Le Saint Martin,French,1
Le Saint Cochon,"French, Belgian, European",1
Charcuterie Pierre Louis Pistorozzi,"French, Mediterranean, Gastropub",1
Mulino Nannaré,Italian,1
Chez Nono,"French, Thai",1
Auberge De Larodde,French,1
Bistronomica,"French, European",1
"Boulangerie "" Les Portes de la Balagne ""","Bar, Cafe, Fast food, Pub",1
Pizzeria U San Roccu,French,1
L’Ancelois,French,1
Bar Le Cyrano,"French, Fast food",1
Pizzburger,"Fast food, Italian, Pizza",1
La Cabane,,1
Aux Huitres Et Caetera,Seafood,1
Auberge de la Haute Joux,"French, European, Contemporary, Fusion, Diner, Gastropub, Pub",1
Mediterranée,Fast food,1
La Terrasse de l'Autize,"French, European",1
La Table d'Aimer,"European, French",1
Restaurant Caillat,"French, Bar, Cafe, Pub",1
Epicerie Du Soleil Chez Nyle,,1
Chez Milou (pizza milou),"Pizza, Cafe, Fast food, Pub, French, Brew Pub",1
L'altoirois'e,,1
Delice Kebab,"Turkish, Greek",1
La Carperie,French,1
Au bout de la plage,,1
La Douzaine,Seafood,1
Spatule et Fourchette,French,1
Chez Rene,"Pizza, Italian, French",1
Bar restaurant O'2C,French,1
O'2c,"Italian, French, Central-Italian",1
Savines-le Lac,,1
Avarum,"French, European",1
L’Original Restaurant,Italian,1
Chez Fouillette,"French, Deli",1
L'Amandier Rose,French,1
Le café Français,French,1
Patisserie Chocolaterie Matteucci,French,1
De Lignes En Lignes,French,1
Le Bouchon en Beaujolais,French,1
Le Manoir,"Bar, Wine Bar, French",1
La Reine Esther,"French, European",1
L’aniche des gourmets,French,1
L'Aniche des gourmets,"French, Pub, Gastropub",1
Saveurs Pizzas,Pizza,1
Boulangerie Marie Blachere,,1
Le Quarante Neuf,French,1
La Colombe,French,1
A Muvra,"French, Pizza, Cafe, Mediterranean",1
Chez Pierre,"Italian, Pizza",1
Calvaioli,"French, Cafe, Fast food",1
Les Terrasses du Lac,French,1
Le Bilig,French,1
Presto Pizza,Italian,1
La Calzone,Pizza,1
Boulangerie Marie Blachere,,1
Pizza Belle,Italian,1
Restaurant Le Pareto,French,1
Le Frui The,,1
San Marco,"French, Brew Pub, Pizza, Pub, Wine Bar, Dining bars",1
L'Arestavou,"Italian, Pizza",1
boulangerie patisserie la fournée langeadoise,French,1
Merveilles d'Asie,"Asian, Vietnamese",1
Zeppelin,"French, Fast food, Diner, Soups, Hawaiian",1
Captain Fox,"Brew Pub, Cafe, Contemporary, Pub, Dining bars",1
D'Est en Ouest,"French, Wine Bar",1
Les Bronzes - Bar de Plage,"Bar, Cafe, Fast food, Contemporary, Pub, Dining bars",1
Café du Marché,,1
Chamusca Sabina,,1
