restaurant_name,cuisines,rating_35
Saveurs du Monde,"Middle Eastern, Afghani",1
Chez Nous,French,1
Green cantina,"American, Fast food, Street Food",1
Sweet And Salt,,1
African Evasion,African,1
Poulets Pedro,,1
Antalya Grill,,1
Cafe d paris,French,1
Bistrot Saint Jean,,1
Le Relais du Pont de Vere,"European, Central European",1
Isken grill,"Seafood, Barbecue, Turkish",1
La Saladerie,Fast food,1
Lebossé Denis,,1
The Endless Burger,"American, French, Fast food",1
Hôtel - Restaurant Chandouineau,French,1
BOK & Co.,French,1
C' joliment bon,,1
Pendafrica,African,1
Le central,,1
D8 Bar Restaurant Tabac,"French, Italian, Pizza",1
Le Bellevue,,1
Boulangerie Meignen,,1
Chez Moustache,"French, Fast food",1
L’Esquisse,"French, Healthy",1
La Mie du Pain,French,1
Subway,"American, Deli",1
Salon de the de la Tour Morillon,,1
Bar Brasserie la Marine,,1
L'Escale des Gravières,"Bar, Cafe, International, Thai, Pub, Healthy",1
La Tablée Gourmande,"French, Cafe, European, Asian, Australian",1
Chocolaterie du Pays de Saint Flour,,1
Sophie de Kerno,"French, Seafood, Polynesian",1
Bara Pita,"Lebanese, Mediterranean",1
La Girouette,French,1
Le Komptoir d'Ossès,,1
Le Flaubert,French,1
Pizza Yolo,,1
Bistrot de la forge,French,1
La Grangee,"French, European",1
La Panipizz,"Italian, Pizza",1
Brasserie Le Petit,"Bar, Barbecue, Turkish, Pub, Dining bars",1
Le Café des Arts,"French, Brew Pub, Bar, Fast food, Pub",1
Yogorino Villeparis,"Italian, French",1
Sushi Lauv,"Japanese, Sushi, Asian, Korean, Japanese Fusion",1
Casa Del Local,Mediterranean,1
Le Palmier,Fast food,1
Manege Du Port,,1
Lili by Eugene,French,1
Le Burger Fou,,1
Côté Port,,1
Snack de l'Argentière,"French, Fast food",1
La P'tite Cuisine,"French, Fast food, European, Diner",1
La Pizz A Toute Heure 83,Pizza,1
I Love Sushi,"Japanese, Sushi, Asian",1
Au Petit Gourmand,French,1
Festa Farina  & Pizza,"Italian, Pizza",1
La Halle aux Saveurs - Has,French,1
Dinastore,"Italian, French, Pizza, Street Food",1
Route 117,,1
Boulangerie Marie Blachere,,1
Les Jardins de La Gare,French,1
Cafe de la Cite,,1
Pâtisserie Laurent,French,1
Pizza De La Place,Pizza,1
L'atelier Grill,"French, Barbecue, European, Portuguese, Dining bars",1
La Quimperoise,French,1
Rolls-Dog,"French, American, Fast food, European, Healthy",1
La mamma,"Italian, French, Pizza",1
Délices d'Ormoy,"Turkish, Middle Eastern",1
Pierre Vini Goute,African,1
Coriandre et Citronnelle,"Asian, Thai, Cambodian",1
Pizz-Sensation,"Pizza, Fast food",1
Adanali restaurant,Fast food,1
Guenivet Laurence,,1
Fromagerie Notre Dame,"Italian, French",1
Gustoso,"Italian, Mediterranean",1
L'atelier INARI - Foodtruck Traiteur,"Japanese, Asian",1
Pick Thai,"Asian, Central Asian",1
Chez Nanard,Pizza,1
Lilipizz,"Italian, Pizza",1
Restaurant Class Croute,,1
Pause Pizza,"Pizza, Italian",1
Brasserie Place du Marche,French,1
Le Petit Bois,"Pizza, Barbecue",1
Ciao Nonna,Italian,1
Genna Pizza,"Italian, Pizza, Fast food",1
Pause Gourmande,"African, Cafe",1
Pizza 46,Pizza,1
Subway,,1
Boulangerie Marie Blachere,,1
Boulangerie Ange Lievin,French,1
Le Comptoir a Pizzas,"Italian, Pizza, Healthy, Street Food, Fast food",1
La Pizzell' Restaurant,"French, Pizza",1
MY Restaurant,,1
3 Brasseurs,French,1
Taksim,Arabic,1
Sema Kebab,Turkish,1
Fournil San Priots,"French, Fast food, Street Food",1
Oullins Sushi,Japanese,1
Creperie OK,,1
Pizz’ O Bois,Italian,1
Chez Marius,"Brew Pub, European, Pub",1
L'Andalou,"French, Gastropub, European",1
Hola Pizza,"Italian, Pizza",1
Le Vieux Marché Popote Et Canaille,French,1
Palais d'or,"Turkish, Fast food",1
Le Compromis,"Dining bars, French",1
Severine Gourmet,,1
Wigis Coffee,French,1
L’Actuel,French,1
Pasta Chez Vous,"Italian, French",1
L'oros Ganos Crolles,Pizza,1
Le Comptoir Gourmand de Lol,French,1
L'Osmose,French,1
L'Estancot,French,1
Tutti Pizza Le May-sur-Evre,Pizza,1
Le Comptoir,"Dining bars, French",1
Crock & Mache,"Contemporary, French, Mediterranean",1
L'atelier Du Marteberg,French,1
Le Petit Jeune,"French, Seafood, European",1
All Ocean Pizza,Fast food,1
Le Napoli,"Italian, Pizza",1
Loko Bar,"Brew Pub, Spanish, Pub, Wine Bar, Street Food, Dining bars",1
Les Terroirs De France,"French, Fast food, Pub, Gastropub, Street Food",1
Delicious,Barbecue,1
L'Abel Crêpe,"French, Fast food",1
Saveurs des Iles,Caribbean,1
L'ethique table,"French, Spanish, Grill",1
Un Rêve d'Enfant,French,1
Boulangerie de Chris,,1
A La Bonne Franquette,French,1
Hotel Restaurant Frankenbourg,"French, European",1
La Maison Bouteille,French,1
BISCUITERIE CHOCOLATERIE Carthéo,French,1
Le Fournil Des 4 Chemin,,1
La petite auberge,,1
Pizzeria Mimizet,"Pizza, Italian, French",1
Pizz'antonne,Pizza,1
Pizza Restaurant La Dokkana,"Italian, French",1
L'Hermine,,1
Barraja,Wine Bar,1
Sarah et Nicolas,French,1
Aux Halles Du Mercantour,French,1
Brasserie du Boucher,Dining bars,1
CASA DI Firenze,Italian,1
Camping-Moto Dordogne,"Swiss, European",1
Lili Resto,"French, Pizza, Seafood, Spanish, Diner",1
Restaurant Louis XIV,,1
Zokoak,"French, Barbecue, Dining bars",1
Cecilenea Gâteaux Basques,French,1
Txanogorritxo,"Cafe, Fast food",1
Hollywood Sandwichs,,1
Au Comptoir,"French, Pizza, Cafe",1
Piu Bella Corsica,French,1
El Loco Cafe,"French, Spanish",1
Oh! Mon Gâteau,,1
Yim Siam,"Fast food, Asian, Thai, Street Food",1
La Brasserie d'Abeilhan,,1
Le Bistrot Hôtel De Londres,"French, Pizza, Contemporary",1
Au Pré De Mon Arbre,French,1
Les Jardins du Moulin,"French, European, Contemporary",1
Bar Restaurant des Sports,,1
L’Aurienchon,French,1
Vivi Nem,"Asian, Vietnamese, Healthy, International, Street Food",1
Goma Omakase,"Japanese, Asian, Healthy",1
Goma Pokebar,Japanese,1
Pizza Montano,"Italian, Pizza",1
Hordago Ostatua,"French, Spanish, Grill, Healthy, Soups",1
Mimosa,French,1
Trinquet Pleka,"French, European",1
Dok Boua,"Asian, Japanese",1
Magic Pizza,Pizza,1
Pizza Gaga,Fast food,1
Blue Note n'Roll,Fast food,1
Cafe De La Gare,French,1
Chez Lando,French,1
A Mustaccina,"French, European",1
Funtanona,French,1
OAsie,Asian,1
Pizzeria U Rossu,Pizza,1
L'Attellu,"Contemporary, French",1
Le Vieux Moulin,"Mediterranean, Algerian",1
L'Escale de Boussais,French,1
Creperie An Iliz,"French, European",1
La Cabane d'Arthur,,1
La Brulerie Limoux,Cafe,1
A table...,French,1
Vaquie Et Fils,,1
Delikate & Saine,"Fast food, International, Healthy",1
Le Marmiton Du Pilat,French,1
Les Folatieres,"Bar, Wine Bar, French",1
La crêperie de campagne,French,1
O saint ebre,French,1
Auberge du parc,French,1
Dim Sum,Chinese,1
Mc Minnies,"Fast food, Cafe, Healthy",1
Lou Lyta,"European, French, Mediterranean",1
La Cascade,"French, Bar, Cafe, Pub",1
Boulangerie Patisserie Mur Ernest,,1
Firfol Restaurant,French,1
Restaurant La Charlotte,French,1
Les cocottes de la montagne,"French, American, Fast food, Street Food",1
Histoire de Famille,"French, Healthy",1
Auberge de la Petite Carcassonne,French,1
Hostellerie de l'Ourse,"European, French",1
Le Meleze,"European, French",1
L'authentique,French,1
Freres Carmes,Wine Bar,1
Patisserie Buridant,,1
Au Chevalier Baltazar,French,1
Hashtag Coffee,French,1
Les Pôtes Iront,French,1
Rooftop 808,,1
Pizzeria du Stade,"Italian, Pizza",1
Cave Silevin,"Wine Bar, French",1
Grrrfood,,1
L'Ile Aux Glaces,French,1
Kyutea,"Chinese, Japanese, Cafe, Asian",1
Le Tempico,"French, Barbecue, Dining bars",1
La Creperie Restaurant,,1
Artepizz',"Pizza, Italian",1
Crêperie L'Escale Gourmande,"French, European",1
Kanz Foods,"African, Fast food, Grill, Diner",1
Le Four A Pizz',"Italian, Pizza, International",1
Le Pas'sage,Steakhouse,1
Biofée,,1
Pizza Sebastien Sidole,"Italian, Pizza, Neapolitan, Campania, Southern-Italian",1
Aarapana,"Indian, Middle Eastern",1
La cantine de l'harmadas,French,1
Les Terrasses de la Gare,,1
Miam Pizza,"Pizza, Fast food",1
La Chaumière,"French, Mediterranean",1
Holiday's Bread,Pizza,1
La Maison,French,1
Le Coin Gourmand,"French, European, Street Food",1
Les Terrasses,"French, European, Calabrian, Southern-Italian",1
Aux plaisirs du sucré salé,"Italian, Pizza, Cafe, Fast food, Grill",1
L'entre 2,"French, Healthy",1
Restaurant Les Terrasses Marseillan plage,"Italian, Dining bars",1
Waffle and Shakes,French,1
Ki-Wi Glace,,1
La Trattoria,"Pizza, Italian",1
Creperie Le Blé Noir,French,1
Le Cap,"French, European",1
Allevu U Porcu Cappusgiu,,1
U Rataghju,,1
Restaurant Les Spijeoles,French,1
L'incontournable,Pizza,1
Maison Ivaldi,French,1
Chez Marthe,Pizza,1
Turkuaz,"Fast food, Turkish, Mediterranean, Middle Eastern",1
Cote-Resto,French,1
Nanny Pizza,Pizza,1
L'Étoile,French,1
La Fourchette Gourmande,"French, European, Fusion",1
La Terrasse,"Brew Pub, Bar, Cafe, Pub, Wine Bar",1
Chez Mich Et Sandrine,"French, Pub, Gastropub",1
Pizza Roma,Pizza,1
Mojo,,1
Pizzeria l'Ostriconi,"Pizza, Italian",1
Creperie l'Arcade,French,1
Le Bistro & Burger Francais,"Bar, Fast food, Grill, Pub, Wine Bar",1
Cocotte Corner,"French, American",1
Le Bar a Pates,Italian,1
I Cinque Sensi di Luna,"French, Mediterranean",1
Comme chez Vous,French,1
Les Balcons de l'Ours,,1
100% Fondue,"French, Swiss, European",1
Le Comptoir de Pizay,French,1
Patisserie Louis,French,1
Allopizza,Fast food,1
La Table de Mario et Jean,French,1
Le Petit Orchestre,"French, Bar, European, Pub",1
Tigo,"Turkish, French",1
La Grange de l'Errance,French,1
Maum Café,French,1
The Charolly,,1
L'Assiette et Plaines,French,1
Cala Di Sole,,1
Restaurant Jeviemavie,French,1
La Cucina Di Fabrizio,"Italian, Pizza",1
Le Bistrot de L'Amandier,French,1
Hôtel Restaurant L'Eysse,French,1
Bar Restaurant De L'Etang / Chez Cedric,,1
Brasserie Saveurs D'ailleurs,French,1
Auberge La Lorraine Perdue,French,1
Traiteur Olivier Gourmand,,1
Le Torrefacteur,French,1
Nord,French,1
Pizzeria Come a Casa,Italian,1
Come a Casa,Italian,1
Auberge Lou Poumie,"French, European",1
Ab'ville Pizza,,1
Le Bel'Art,"French, Cajun & Creole",1
Le Vieux Relais,"French, European",1
A La Table d'Antoine,"French, European",1
La Pie,"French, European",1
L’Excalibur,"French, American, Street Food, Italian, Pizza",1
Sarl Pizza Val,,1
Zoga,,1
La fringale,"French, Bar, Fast food, Pub",1
Bistro Féfé,French,1
Domino's Pizza,Pizza,1
Le Churrasco,,1
Lou Pastissie,French,1
La Petite,"Italian, Pizza",1
El Suquet,"French, Seafood, Spanish, Grill, Mediterranean",1
Restaurant - Le Cheval Blanc,French,1
L'Escapade,French,1
La Taverne Des Laboureurs,,1
Boulangerie Patisserie Bourlot,,1
Ma Cuisinière Bien Aimée,,1
M&D Pizza,"Italian, Pizza",1
Chez Francoise et Patrice,French,1
MD Gourmandise,French,1
Bar De La Piscine,French,1
Restaurant de l'Horizon,French,1
La Maison à Pizza,"Pizza, Italian",1
Café du Globe,French,1
Le Clos des Muses,,1
Auberge de Vazerat,"French, Gastropub",1
Le Clos de la Prairie,"French, European",1
L'encas & L'echoppe,"French, Cafe, Healthy",1
Guinguette de la Neuve,Spanish,1
La Crêpe Solaire,Fast food,1
Crêperie La Fleur De Sel,French,1
La Crepe Postale,French,1
Manoir Ker An Poul,"French, Dining bars",1
Hôtel de France,"French, Seafood, European",1
Boutique Ty'Papo,French,1
La Pause,French,1
Les Halles De Dahouët,"French, Cafe, Healthy",1
Comète,"French, European",1
La P'Tite Ble Noir,,1
Fromentine et Sarrazin  Creperie,French,1
La Table du Manoir de l'Isle,French,1
Restaurant Auberge de Saint Jean,French,1
La Villa,Seafood,1
Pizz'a la Breizh,"Italian, Pizza",1
Ki Ka Faim,,1
Creperie l'hermine,French,1
Creperie des Myrtilles,"French, European",1
L'Aristide,"Healthy, French",1
La Pâte D'angie,"French, Southwestern, Northern-Italian, Central-Italian, Southern-Italian",1
La table d'hôtes du domaine TRAPET,,1
Les Gars du Coin,"French, Brew Pub, Cafe, Fast food, Pub, Wine Bar, Street Food",1
L'Empreinte,French,1
Pizzeria Cafe de la Gare,"European, Italian, Pizza, Cafe",1
BBF Stadium,Pizza,1
Subway,,1
La Renaissance Le Restaurant,"French, Healthy",1
Le Gex-divonne,"French, Mexican, Swiss, Barbecue, European, Middle Eastern, Pakistani",1
Pizza Occitania,,1
Domaine La Marche,"French, European, Gastropub, Scandinavian, Mediterranean",1
La Marmite de Caro,"French, American, Spanish, Asian, Deli",1
Le retro 1972,Fast food,1
L'IDEAL CAFE,,1
La table de Pauline,French,1
Au Villard,French,1
Le Mot De La Faim,French,1
Les Aures,"Fast food, Hokkaido cuisine",1
Café de la Place,,1
Le Saint Romain,,1
Le jardin des B'teas,,1
La Croix Blanche,"French, Brew Pub, Pub, Wine Bar, Dining bars",1
Refuge Sant Guillem,"French, Spanish",1
L'hédyoniste En Val,French,1
Le Relais des îles,French,1
A Table !,French,1
L'Orée de la Forêt,"French, European",1
Pizzonia,"Pizza, Italian",1
Dragon Nuage Les Bosquets,,1
Grill du moulin,"French, Grill",1
Hotel Restaurant de La Gare,French,1
L'Ecurie,,1
Cafe Rodro,"French, European",1
Le Gregana,Pizza,1
Restaurant Les Drôles,"French, European, Swiss, International, Dining bars",1
Pizza Et Snack Les Gones,"Italian, Pizza",1
Café Brasserie de la Mairie,French,1
Gourmandise,French,1
le Venissia,"Italian, American",1
L'Annevillais,French,1
Pizzeria Tutto Bene,Italian,1
La Chênaie,"French, European",1
Restaurant La Grange D'aigues Vives,"Seafood, Grill",1
Les Feuillus,French,1
Padam,,1
Eke,"Japanese, Asian, Healthy",1
L'Antre-Potes,French,1
Restaurant Kastenwald,"French, European",1
The Irish Belle,,1
Le jardin d’Eden,"French, Cafe, Grill, Dining bars",1
Auberge des Moulins,"French, Pub, Gastropub",1
Pizz'UP,"Pizza, Italian",1
Le Grenier Du Nebbiu,French,1
Chez Maman Julia,"French, European, Portuguese",1
Au Grain d'Elle,"French, Contemporary",1
La Tablee Campagnarde,French,1
Auberge La Caleche,,1
Boulangerie Patisserie la Mie d'Aubance,French,1
Chez Simon,Pizza,1
La Cave Fléchoise cave à vins et bar à vins,"Cafe, Wine Bar",1
Le Creans,French,1
Guillemard Création,"Fast food, French, European, Street Food",1
Bistrot Retro,French,1
Le comptoir Bistrot & vins,French,1
le Bistrot d'Olicia,French,1
Allo Le Croisic Pizza,,1
Bistrot Les Ga'Ouch,French,1
les delices d'Adele,Italian,1
Bistrot L'Ocean,,1
Le petit snack d Armelle et alban,French,1
Le Centenaire,,1
O'Tours de la table,"French, Deli",1
Restaurant Cote Jardin,"French, European",1
Café bouche B,"French, Healthy, Cafe, Contemporary, Pub, Gastropub",1
La Cabane à Matelot,"French, European, Healthy, Contemporary",1
L’Attablee des Rochers,French,1
Pech Mortier,French,1
Le Café 1500,"French, Cafe, European",1
Crêp'Ambulante - Chez David & Fred,"Fast food, French, European",1
Chez Flomado,Fast food,1
La Terrasse Givet,French,1
Les Arômes de l'Abbaye,French,1
Le Bistrot,"French, European",1
Au Plaisir De Pecher,French,1
Auberge de la poutre,"French, European",1
Le Douce France,French,1
L'llot Lanterne,,1
Le Gout du Sake,"Japanese, Sushi, Asian",1
Boucherie de l'Eglise,French,1
Fourchette et Compagnie,,1
Oud,"Lebanese, Healthy, Middle Eastern, Mediterranean",1
Pokawa,"Fast food, Hawaiian",1
Bistrot Régent,French,1
Bistro Regent,French,1
Lucky Folks,"French, Brew Pub, Bar, European, Pub, Dining bars",1
Le Caf&Zzeria,"Pizza, Street Food, Italian, Fast food",1
Bongou by la Croissanterie,French,1
Pizzeria Du Lycee,Pizza,1
Le Ferset,French,1
A&G Family Food,Pizza,1
Saveurs Maison Levier,French,1
La Thaliette,"French, Bar",1
Atelier des Pep,French,1
Boucherie Des Alpes,French,1
Restaurant U San Larenzu,French,1
I Sabidini,"French, Mediterranean",1
O relax,"Pizza, Fast food, Dining bars",1
MG Patisserie,,1
La Table du Lac,French,1
Le Club House Du Gévaudan,"French, Mediterranean, Cafe, Dining bars",1
