latitude,longitude,open_hours_per_week,total_reviews_count,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,claimed__Claimed,claimed__Unclaimed,price_level__€,price_level__€€-€€€,price_level__€€€€,vegetarian_friendly__N,vegetarian_friendly__Y,vegan_options__N,vegan_options__Y,gluten_free__N,gluten_free__Y,open_days_per_week__1.0,open_days_per_week__2.0,open_days_per_week__3.0,open_days_per_week__4.0,open_days_per_week__5.0,open_days_per_week__6.0,open_days_per_week__7.0,working_shifts_per_week__1.0,working_shifts_per_week__10.0,working_shifts_per_week__11.0,working_shifts_per_week__12.0,working_shifts_per_week__13.0,working_shifts_per_week__14.0,working_shifts_per_week__15.0,working_shifts_per_week__2.0,working_shifts_per_week__3.0,working_shifts_per_week__4.0,working_shifts_per_week__5.0,working_shifts_per_week__6.0,working_shifts_per_week__7.0,working_shifts_per_week__8.0,working_shifts_per_week__9.0,avg_rating__1.0,avg_rating__1.5,avg_rating__2.0,avg_rating__2.5,avg_rating__3.0,avg_rating__3.5,avg_rating__4.0,avg_rating__4.5,avg_rating__5.0,default_language__All languages,default_language__English,food__1.0,food__1.5,food__2.0,food__2.5,food__3.0,food__3.5,food__4.0,food__4.5,food__5.0,service__1.0,service__1.5,service__2.0,service__2.5,service__3.0,service__3.5,service__4.0,service__4.5,service__5.0,value__1.0,value__1.5,value__2.0,value__2.5,value__3.0,value__3.5,value__4.0,value__4.5,value__5.0,restaurant_link,restaurant_name,country,region,province,city,popularity_detailed,popularity_generic,special_diets
-0.103656866309784,-0.5456046591970974,-0.025683855842877,-0.3162630511913826,-0.7559980222973762,-0.6187498530962472,-0.844157606593371,-0.7736702628288528,-0.6574167108534417,-0.7141718367469597,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,415516,8,159,460,33368,53875,32685,43
-0.1044508213233886,-0.5413585416456392,-0.025683855842877,-0.7549028672373541,-0.5891223731207407,-0.6187498530962472,-0.388878340783497,-0.2144572770234765,-0.6574167108534417,-0.7141718367469597,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,432841,8,159,460,33368,350522,336441,43
0.0118591335234534,-0.5202555161422251,-0.025683855842877,-0.6417054953545228,-0.6447475895129525,-0.5089668809348974,-0.616517973688434,-0.7736702628288528,-0.6574167108534417,-0.7141718367469597,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,43642,8,56,84,31714,28752,13071,43
-0.1583229134527724,-0.4690522377032564,-0.025683855842877,-0.3445623941620905,-0.8116232386895881,-0.7285328252575971,-0.844157606593371,-0.7736702628288528,-0.6574167108534417,-0.7141718367469597,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,431510,8,159,228,20015,23069,8076,43
-0.4039709498694738,-0.3363489446379131,-0.025683855842877,-0.6700048383252306,-0.2553710747674695,-0.3991839087735475,0.749319823741188,-0.7736702628288528,-0.6574167108534417,-0.7141718367469597,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22,603186,8,160,51,33435,29572,13784,43
-0.067994168397247,-0.2317585266462034,-0.5124680698454497,0.079927750398527,2.0252627973132165,2.016041478776149,2.0013378047183417,0.3447557087818996,1.432614041391543,0.2792488025190225,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,368125,8,12,639,20825,23414,8383,43
-0.3998216182942765,-0.1855429089707941,-1.5347149192508522,-0.4860591090156296,-0.6447475895129525,-0.3991839087735475,-0.844157606593371,-0.7736702628288528,-0.6574167108534417,-0.7141718367469597,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,34,130376,8,160,49,32954,350451,336382,43
-0.5494043533832279,-0.4228645388727891,-1.5347149192508522,1.0562550828879471,-0.1441206419830458,0.1497309520332016,-0.1612387078785599,-0.2144572770234765,-0.6574167108534417,-0.7141718367469597,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,35,372980,8,160,49,32954,53805,32609,43
-0.622395958208583,-0.5727726157069812,-1.5347149192508522,-0.2738140367353209,-0.7559980222973762,-0.6187498530962472,-0.844157606593371,-0.7736702628288528,-0.6574167108534417,-0.7141718367469597,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,36,510517,8,160,36,27953,26809,11396,43
0.2852373423509972,0.0156462452594018,-0.5611464912457069,2.0891811013187835,-0.8116232386895881,-0.7285328252575971,-0.844157606593371,-0.7736702628288528,-0.6574167108534417,-0.7141718367469597,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,59,167309,8,98,1263,38510,32067,15925,43
