cuisines,count
"Cafe, International, Pub, Healthy",2
"Bar, Cafe, Pub, Lombard, Northern-Italian",2
"French, German, Dutch, Turkish, European",2
"Pizza, Bar, Cafe, European",2
"Indian, Native American, Pakistani",2
"American, Fast food, Turkish, Grill, Middle Eastern",2
"Bar, Cafe, Wine Bar, Dining bars",2
"Seafood, Contemporary, Italian, Mediterranean, European",2
"Chinese, Asian, Street Food, Tibetan",2
"Seafood, Grill, Italian, French, European",2
"Steakhouse, Seafood, Mediterranean, Barbecue, Central European, European, Grill, Healthy",2
"French, Bar, Pizza, Barbecue, Grill, Pub",2
"Korean, Chinese, Japanese, Asian",2
"German, Bar, Cafe, International, European, Diner",2
"Grill, German, Bar, Barbecue, European, Pub",2
"Spanish, Bar, Mediterranean, European, Healthy",2
"German, Pizza, European, Beer restaurants",2
"French, European, Bar, Pub, Diner",2
"Pizza, Mediterranean, European, Greek, Italian",2
"Soups, Cafe, British, Scottish",2
"European, Grill, Fusion",2
"Cafe, Contemporary, Fusion",2
"Italian, Mediterranean, European, German, Seafood",2
"Diner, Italian, Pub",2
"International, European, Fusion, Healthy, Asian",2
"Korean, Japanese, Asian, Thai, Healthy, Fusion",2
"Grill, Pub, Gastropub, European, Central European",2
"Chinese, Thai, Malaysian, Asian",2
"Asian, Thai, Chinese, Japanese, International, Sushi",2
"Fast food, Grill, Fusion",2
"Belgian, Fast food, European, Deli, Street Food",2
"German, European, Diner, Hungarian",2
"Brew Pub, Grill, Pub, German",2
"American, Dutch, European, Asian",2
"International, European, Contemporary, Fusion, Healthy, Seafood",2
"Cafe, British, Contemporary, Soups, Scottish",2
"Lebanese, Middle Eastern, Mediterranean, Street Food",2
"Fusion, French, European, Contemporary",2
"Mediterranean, Grill, Croatian, Seafood, European",2
"European, Central European, German, Brew Pub",2
"French, International, Mediterranean, Dutch, Seafood, European",2
"Brew Pub, Bar, Cafe, Pub, Gastropub, Italian",2
"Grill, Healthy, Fast food, Mediterranean",2
"German, European, Bar, Contemporary, Fusion",2
"French, Cafe, Barbecue, European, Street Food",2
"Italian, French, Pizza, Neapolitan, Campania, Romana, Lazio, Central-Italian, Southern-Italian",2
"Indian, British, Asian",2
"Cafe, Italian, European, Hungarian",2
"Italian, Fast food, Deli, Street Food, Neapolitan, Campania, Southern-Italian",2
"Bar, Cafe, Brew Pub, Dutch, European, Pub",2
"Austrian, Bar, Pizza, European, Pub",2
"Pizza, Mediterranean, European, British",2
"Hawaiian, International, Healthy",2
"French, Japanese, Bar, Asian, Pub, Wine Bar",2
"Pizza, Italian, French, Bar, European, Pub",2
"Fast food, American, Barbecue, Street Food",2
"Italian, French, American, Pizza, Seafood",2
"Italian, French, Cafe, Barbecue, Deli, Diner",2
"Brew Pub, Grill, Austrian",2
"Steakhouse, Spanish, Seafood, Argentinian, South American",2
"Grill, French, Barbecue, Middle Eastern",2
"Bar, Belgian, Cafe, European, Pub",2
"International, Bar, Pub, Cafe",2
"French, American, Bar, British",2
"International, Grill, German, Bar",2
"Cafe, Fast food, Street Food, Arabic",2
"Sushi, Asian, Fusion, Japanese",2
"Italian, Fast food, Healthy, Street Food, Neapolitan, Campania, Southern-Italian",2
"Bar, Cafe, Pub, Central-Italian, Southern-Italian",2
"Pizza, Italian, French, European, Diner",2
"Mediterranean, Asian, Middle Eastern, Mongolian",2
"Italian, French, Bar, Mediterranean, European, Healthy",2
"Bar, Cafe, European, Grill, Pub, Romanian",2
"Grill, Barbecue, Italian",2
"Polish, European, Russian, Eastern European, Romanian, Georgian",2
"Italian, French, American, Austrian, Mediterranean, Healthy, European",2
"American, Southwestern, Polish, European, Eastern European",2
"Italian, Bar, Cafe, Seafood, Pub, Northern-Italian",2
"Cafe, Italian, Spanish, British",2
"Bar, Cafe, Spanish, Pub, Catalan, Dining bars",2
"German, International, European, Grill, Croatian, Central European",2
"Mexican, American, Asian, Street Food, Malaysian",2
"German, Pizza, Pub, Diner, Gastropub",2
"International, Italian, French, Dutch, Seafood, Mediterranean, European",2
"Mexican, Barbecue, Latin, Spanish",2
"French, American, Bar, European, Pub, Gastropub",2
"Steakhouse, Dutch, European, Grill, Pub, Gastropub",2
"Soups, Hungarian, European",2
"Fusion, French, Vietnamese",2
"Italian, Deli, Wine Bar, Gastropub",2
"Chinese, Asian, Vietnamese, Thai, Fusion",2
"Fast food, Tunisian, Mediterranean",2
"German, Cafe, International, European, Hungarian",2
"Cafe, Pub, Gastropub, German, Seafood",2
"International, Healthy, Street Food, Fast food",2
"Diner, German, Bar, International, European, Pub, Central European",2
"Steakhouse, Austrian, International, European, Grill, Diner",2
"Italian, Seafood, Mediterranean, European, Healthy, International, Contemporary",2
"Mediterranean, Spanish, Portuguese",2
"Mediterranean, European, Bar, International",2
"French, Pizza, Fast food, Mediterranean, Grill",2
"French, American, Cafe, Street Food, Native American",2
"Bar, Fast food, Pub, Wine Bar, Street Food",2
"Chinese, Pizza, Yunnan",2
"French, Cafe, European, Healthy, International",2
"Steakhouse, Brazilian, Wine Bar, South American",2
"Austrian, European, Cafe, Seafood, Grill",2
"French, Cafe, Spanish, Diner, Wine Bar",2
"French, European, Healthy, Gastropub, Dining bars",2
"Mediterranean, Healthy, Catalan, Fusion",2
"Japanese, Indian, Asian",2
"French, Bar, Wine Bar, Street Food, Dining bars",2
"Italian, Contemporary, German, Pizza",2
"Austrian, European, Grill, Pub, Gastropub, Street Food",2
"International, European, Asian, Fusion, Central European",2
"Bar, German, European, Pub, Central European",2
"French, Chinese, Seafood, Asian",2
"French, Steakhouse, Brew Pub, Pub, Wine Bar, Dining bars",2
"American, German, Arabic",2
"Caribbean, Asian, Deli, Cuban",2
"Bar, Mediterranean, European, Spanish, Wine Bar, French",2
"Italian, Bar, Cafe, Wine Bar, Gastropub",2
"German, Bar, European, Pub, Central European, Brew Pub, Grill",2
"Bar, British, Pub, French",2
"Pizza, Northern-Italian, Central-Italian, French",2
"Latin, Central American, Mexican",2
"International, European, Soups, German, Healthy",2
"Bar, Cafe, Mediterranean, Central European",2
"French, Bar, International, Pub, Gastropub, Dining bars",2
"Mediterranean, Turkish, Grill, Middle Eastern, Arabic",2
"German, Bar, European, Central European, Grill",2
"French, Bar, International, Grill, Cafe, Pub",2
"Bar, European, British, Pub, Scottish, International",2
"French, Brew Pub, Cajun & Creole, Cafe, Fast food, Pub",2
"Mediterranean, Healthy, Italian, Deli",2
"Fast food, Grill, Diner, Street Food",2
"French, Bar, Fast food, Barbecue, European",2
"French, Bar, European, International, Fusion",2
"European, Pub, Dutch, Bar, Cafe, Contemporary",2
"Grill, American, Barbecue, European, French",2
"European, Asian, Korean, Fusion, Hawaiian",2
"Steakhouse, Fast food, Barbecue, Greek, Grill",2
"Fast food, European, Deli, Contemporary, Healthy, Cafe",2
"French, Seafood, European, Portuguese, Healthy",2
"French, Cafe, Wine Bar, Gastropub, European, Dining bars",2
"Italian, Pizza, Grill, Ligurian, Northern-Italian",2
"French, Asian, Vietnamese, Mediterranean, Fusion",2
"Brew Pub, Bar, European, Pub, Wine Bar, Gastropub",2
"French, Deli, Wine Bar, Gastropub",2
"International, Mediterranean, Deli, Healthy, Middle Eastern",2
"American, Barbecue, Grill, Dutch, Bar, European, Pub",2
"Irish, Pub, Bar, British, Gastropub, Scottish",2
"French, Japanese, Mediterranean, Sushi, Asian",2
"Bar, Cafe, British, European",2
"Mediterranean, Turkish, Barbecue, Grill, Middle Eastern",2
"Pizza, Italian, European, Wine Bar",2
"Chinese, Japanese, Asian, Mongolian, Seafood, Sushi",2
"French, Belgian, Dutch, European, Pub",2
"Mexican, American, Steakhouse, Bar, Pub",2
"Pub, Italian, Brew Pub, Bar, Barbecue",2
"Bar, Pub, Brew Pub, European",2
"French, American, Steakhouse, Barbecue, Grill",2
"Steakhouse, Cafe, Mediterranean, Spanish",2
"Indian, German, Pizza, Greek",2
"Greek, Seafood, Barbecue",2
"American, Grill, French",2
"Mexican, Steakhouse, Latin, Seafood, Mediterranean, European, Spanish",2
"Italian, Sushi, Asian",2
"Chinese, Dutch, Sushi, European, Asian",2
"Asian, Chinese, Thai, Vietnamese, Soups",2
"French, Fast food, Barbecue, Turkish, Greek",2
"Japanese, Sushi, Asian, Barbecue, Diner",2
"Fast food, Barbecue, European, Romanian",2
"Steakhouse, Dutch, Bar, Seafood, European, Grill, Pub",2
"French, Dutch, European, British, Seafood",2
"Asian, Cambodian, Thai",2
"French, Diner, Bar, European, Brew Pub",2
"French, Pizza, Fast food, Mediterranean",2
"European, Bar, Contemporary, Pub",2
"Lebanese, Grill, Fast food, Mediterranean, Diner, Middle Eastern",2
"International, Contemporary, European",2
"French, American, Asian, Thai, European",2
"Seafood, Italian, Mediterranean, European, Tuscan, Central-Italian",2
"International, Asian, Vietnamese, Chinese, Thai",2
"French, International, Deli, Contemporary, Fusion, Gastropub, Sri Lankan",2
"French, Cafe, Wine Bar, Gastropub, Dining bars",2
"Irish, Italian",2
"Wine Bar, European, French",2
"Irish, Bar, Pizza, British, Pub",2
"Chinese, Grill",2
"German, Italian, Pizza, European, Diner",2
"Cuban, Caribbean, Latin",2
"French, Bar, Barbecue, Wine Bar",2
"German, European, Brew Pub, Gastropub",2
"Italian, Pizza, Mediterranean, French, Fast food",2
"Cafe, Soups, Hawaiian",2
"American, Pizza, Grill, Bar, Pub",2
"Algerian, Mediterranean",2
"Indian, Healthy, Balti",2
"Fast food, Pizza, Cafe, Greek, Eastern European",2
"Italian, Turkish, Arabic",2
"Pub, Welsh",2
"Mexican, American, Fast food, South American",2
"European, Italian, Pizza, Fast food",2
"Italian, Mediterranean, Barbecue, European, Seafood",2
"French, German, Mediterranean, Contemporary, Street Food",2
"European, Fusion, German, Wine Bar, Central European",2
"Italian, Austrian, Mediterranean, European, Tunisian",2
"Italian, French, Seafood, Mediterranean, European, Healthy",2
"Japanese, Sushi, Asian, Gastropub, Bar",2
"Steakhouse, Southwestern, Diner",2
"Bar, Cafe, Fast food, Contemporary, Pub, Dining bars",2
"Cafe, Mediterranean, Healthy, Middle Eastern, Arabic",2
"Chinese, Japanese, Asian, Korean, Street Food, Seafood",2
"Italian, Pizza, Greek, Mediterranean, European",2
"Italian, American, Fast food, International",2
"Italian, German, Cafe, International, Mediterranean",2
"Indian, Caribbean, African, Cajun & Creole",2
"American, Bar, German, Pub",2
"European, Central European, German, Contemporary, Gastropub",2
"Steakhouse, European, Grill, Bar, Barbecue",2
"European, Grill, Pub, Portuguese",2
"Pizza, Cafe, Spanish, Argentinian, South American",2
"American, Spanish, Bar, Pub",2
"Moroccan, Fast food, Mediterranean, Turkish, Street Food",2
"German, Bar, European, Pub, Brew Pub, Gastropub",2
"Soups, Eastern European, Hungarian",2
"European, Grill, Portuguese, Wine Bar, Dining bars",2
"European, Healthy, Portuguese, Soups",2
"Chinese, Grill, Japanese, Asian",2
"Dutch, Peruvian, European, South American",2
"Contemporary, Canadian",2
"Steakhouse, International, German, Contemporary",2
"Indian, Austrian, Cafe, European, Central European, Diner",2
"Italian, Pizza, European, Healthy, Portuguese",2
"International, European, Grill, Contemporary, Diner",2
"European, Deli, Wine Bar, German",2
"Spanish, Central American, South American",2
"Contemporary, Gastropub, European",2
"Healthy, Bar, Cafe, Pub",2
"Cafe, Greek, Bar",2
"Lebanese, Moroccan, Middle Eastern, Arabic",2
"Mediterranean, Middle Eastern, Israeli, Lebanese",2
"Pub, Gastropub, French, European",2
"Fast food, European, Asian, Grill",2
"Bar, Cafe, European, Scandinavian, Danish, International",2
"Diner, American, Bar, Pub",2
"Italian, Caribbean, Spanish, Cuban",2
"European, French, Dutch, Seafood, Contemporary, Diner",2
"Bar, Pub, Belgian",2
"American, Brew Pub, Barbecue, Pub, Wine Bar, Dining bars",2
"Turkish, Greek, Uzbek",2
"Bar, Greek, Contemporary, Pub",2
"Street Food, Algerian, French",2
"Mexican, Mediterranean, Spanish, Asian",2
"Latin, Guatemalan, Central American, Cafe, South American",2
"French, American, Greek, Contemporary",2
"Austrian, Deli, Grill, German, European, Diner",2
"German, Sushi",2
"Japanese, Japanese Fusion, Healthy",2
"French, European, Spanish, Contemporary, Hawaiian",2
"German, Australian, Austrian",2
"German, Seafood, Mediterranean, Sushi, Central European, European",2
"Italian, French, Fast food, Deli",2
"Chinese, Japanese, Sushi, Asian, Thai, Mongolian",2
"International, Contemporary, Healthy, Cafe",2
"British, Pub, Healthy",2
"French, Northern-Italian, Central-Italian, Southern-Italian",2
"Pizza, Italian, Mediterranean, Dining bars",2
"Seafood, British, Street Food, Fast food",2
"Cafe, Australian, Contemporary, Healthy, Street Food",2
"French, European, Swiss, Seafood, Grill",2
"Italian, Lebanese, Mediterranean, Middle Eastern",2
"Healthy, Japanese, Dutch, Sushi, Hawaiian",2
"Cafe, Seafood, Mediterranean, Pub, Gastropub, Street Food",2
"Healthy, Deli, Fusion, Soups",2
"Pizza, Mediterranean, Sicilian, Central-Italian, Southern-Italian",2
"Spanish, Fast food, Street Food",2
"Japanese, Sushi, Deli, Fusion",2
"French, Latin, Spanish, Chilean, South American",2
"Australian, American, Bar, Pub",2
"French, German, European, Diner",2
"Dutch, Belgian, Seafood, European",2
"Middle Eastern, Lebanese, Cafe, Mediterranean",2
"French, Dutch, Cafe, Mediterranean, European, Healthy",2
"International, Turkish, Street Food, Middle Eastern",2
"Pub, Italian, American, Bar",2
"German, International, Asian, Healthy",2
"Italian, Mediterranean, Seafood, European, Sicilian, Southern-Italian",2
"French, European, American, British",2
"German, International, Gastropub, Austrian, European",2
"Mexican, German, Belgian, Dutch, European, South American, Ecuadorean",2
"French, Brew Pub, Cafe, Grill",2
"Brew Pub, International, French, Bar, Cafe, Pub",2
"Italian, Seafood, Contemporary, Pizza",2
"Austrian, Cafe, Diner, European",2
"French, American, Latin, Spanish",2
"Cafe, Central European, German, European, Contemporary",2
"Cafe, European, Deli, Contemporary, Diner, German",2
"French, Bar, Cafe, Mediterranean, Pub, Dining bars",2
"Irish, Bar, European, Pub, Contemporary, Gastropub",2
"Dutch, Bar, Seafood, European, Fusion",2
"Indian, Lebanese, Mediterranean, Greek",2
"Asian, Bar, Pub, Dining bars",2
"Mediterranean, Wine Bar, Pizza, European",2
"Seafood, European, Diner, French",2
"French, American, Dutch, Turkish",2
"Austrian, European, Seafood, Central European",2
"Dutch, Greek, European",2
"Dutch, Bar, French, German, European, Pub",2
"Fusion, Steakhouse, Mediterranean, Wine Bar",2
"Italian, European, Steakhouse, German",2
"Italian, Healthy, Ligurian, Northern-Italian, Mediterranean",2
"Spanish, Mediterranean, Cafe",2
"Austrian, Central European, German, Mediterranean, European",2
"Bar, British, American, Pub",2
"European, Steakhouse, German, International, Grill, Croatian, Central European",2
"Lebanese, Mediterranean, Barbecue, Turkish",2
"Mediterranean, Italian, Bar",2
"Cafe, Healthy, French, Wine Bar, Soups",2
"Italian, American, European, Greek, Romanian",2
"Bar, Pub, Healthy, Dining bars, Beer restaurants",2
"French, Fast food, Grill, Street Food, Dining bars",2
"Pizza, Brew Pub, Bar",2
"Italian, Pizza, Contemporary, Neapolitan, Campania, Southern-Italian",2
"French, Fast food, International, European, Street Food",2
"Brew Pub, French, European",2
"Italian, Pizza, Seafood, Diner, Central-Italian",2
"Pizza, Portuguese",2
"Deli, Contemporary, French, European, Central European",2
"Japanese, Sushi, Seafood, Asian, Deli",2
"Indian, Pizza, Middle Eastern, Afghani",2
"Asian, International, Vietnamese",2
"Italian, Bar, Mediterranean, Spanish, Pub, Wine Bar",2
"Chinese, German, Deli",2
"Pizza, Cafe, Fast food, Mediterranean, Greek",2
"French, Bar, Pizza, Seafood, Pub",2
"Hawaiian, Seafood, Asian, Fusion, Street Food",2
"French, Ethiopian",2
"Bar, Pizza, Cafe, Grill",2
"Cafe, Grill, Gastropub, French",2
"Italian, Cafe, Spanish, Deli",2
"Pizza, Fast food, Mediterranean, European, Greek",2
"French, American, Pizza, Northern-Italian, Central-Italian",2
"Bar, Italian, Cafe, Deli, Diner",2
"Pizza, Barbecue, Eastern European, Dining bars",2
"Cafe, German, European, Soups",2
"Steakhouse, Seafood, Mediterranean, Grill",2
"Spanish, Seafood, Barbecue, Grill",2
"German, Mediterranean, Wine Bar, Central European, Dining bars",2
"French, Fast food, Deli, Street Food, Soups",2
"Chinese, Japanese, Sushi, Asian, Fusion, Seafood, Middle Eastern",2
"Irish, European, Pub, Gastropub",2
"Italian, Austrian, Cafe, Mediterranean, European",2
"Dutch, International, Seafood, Diner",2
"French, Bar, International, Wine Bar, Contemporary",2
"German, Bar, Pizza, Greek, Pub",2
"Chinese, Cafe, Fast food, Asian, Dining bars",2
"French, Belgian, Cafe, European, Street Food",2
"Steakhouse, Bar, Spanish, Mediterranean",2
"American, German, Hawaiian",2
"American, Cafe, Seafood, European, Pub, Gastropub",2
"Spanish, Wine Bar, Mediterranean, Catalan, French",2
"French, Bar, Mediterranean, Spanish, Deli, Pub",2
"Dutch, International, European, Beer restaurants",2
"Asian, Bar, Fusion",2
"Pizza, Pub, Wine Bar",2
"American, German, Fast food, International",2
"Dutch, Cafe, Central European, European",2
"Italian, Bar, Fast food, European",2
"Seafood, Mediterranean, European, Spanish, Healthy, Portuguese",2
"French, Fast food, Deli, Dining bars",2
"Steakhouse, Latin, Barbecue, Spanish, Argentinian, South American",2
"Steakhouse, International, Spanish",2
"Cafe, International, Deli, Diner, Street Food",2
"British, Pub, Dining bars",2
"Mexican, Chinese, American, Thai",2
"International, British, Spanish",2
"Diner, Indonesian, Asian",2
"Brew Pub, Fast food, Fusion, Diner, Soups",2
"Thai, French, Asian, Wine Bar",2
"Italian, Steakhouse, Mediterranean, Apulian, Southern-Italian",2
"New Zealand, Cafe, European, Healthy, Contemporary",2
"French, Dutch, Seafood, European, Diner",2
"European, Barbecue, Pub, Diner",2
"French, African, Central American",2
"Healthy, Steakhouse, German",2
"French, Cafe, Fusion, Healthy, Wine Bar",2
"French, Chinese, European, Fujian",2
"Turkish, Grill, Street Food, Middle Eastern, Greek, Steakhouse",2
"Barbecue, Gastropub, French, Steakhouse, Mediterranean",2
"German, Dutch, International, European, Cafe",2
"Gastropub, French, Italian, Bar",2
"Wine Bar, French, Brew Pub, Street Food",2
"German, Pizza, Fast food, Turkish, Arabic",2
"Cafe, Irish, European, Healthy",2
"Dutch, Cafe, European, Bar, Seafood",2
"Cafe, Bar, Mediterranean, European, Deli, Pub",2
"Steakhouse, Seafood, Croatian, German, European",2
"Mexican, Southwestern, South American, Central American",2
"European, Portuguese, Steakhouse, Grill",2
"French, Healthy, Cafe, Fast food, Soups",2
"Mediterranean, Bar, Pizza, Cafe",2
"Indian, Cafe, Grill, Healthy, Soups",2
"Seafood, Mediterranean, Greek, Deli, European",2
"Italian, French, Diner, Wine Bar",2
"French, Bar, Thai",2
"Sushi, Asian, Japanese, German, Vietnamese, Healthy, Japanese Fusion",2
"Middle Eastern, Israeli, Seafood, Mediterranean, European, Algerian",2
"French, European, Asian, Fusion, Japanese Fusion",2
"Italian, Seafood, European, Portuguese",2
"European, Asian, Diner, Street Food",2
"French, Gastropub, Street Food",2
"Cafe, French, European, Central European",2
"Asian, Thai, Vietnamese, Deli",2
"International, Turkish, Cafe",2
"Mexican, Irish, Australian",2
"Dutch, Bar, Cafe, Seafood, European, Contemporary, Pub",2
"Turkish, Greek, Grill, Middle Eastern, Mediterranean",2
"German, International, Mediterranean, Middle Eastern, Central European",2
"Italian, Pub, Bar, Pizza, Mediterranean, European, Central European",2
"French, European, International, Middle Eastern, Japanese Fusion",2
"German, Bar, Contemporary",2
"Chinese, Japanese, Sushi, Thai, Asian",2
"Italian, Pizza, Seafood, Mediterranean, Contemporary, Neapolitan, Campania, Southern-Italian",2
"Mexican, Latin, Brazilian, Chilean, Central American",2
"Brew Pub, Pizza, Beer restaurants",2
"Chinese, Asian, Mongolian, Japanese",2
"Italian, Mediterranean, German, Bar, Pizza",2
"Bar, Pizza, Fast food, Pub, Wine Bar",2
"Fast food, Algerian",2
"Japanese, Sushi, Grill, Seafood, Asian",2
"Brew Pub, Fast food, Pub, Wine Bar, Street Food, Soups",2
"Mediterranean, European, Grill, Pub, Gastropub, Croatian",2
"Bar, European, French, Cafe, Deli, Pub",2
"Bar, Barbecue, European, Pub, Swedish",2
"International, Mediterranean, European, Croatian, Central European",2
"Dutch, Fast food, European, Contemporary, Diner",2
"American, Barbecue, Bar, Grill, Street Food",2
"Steakhouse, Austrian, Gastropub",2
"Mediterranean, British, Grill",2
"Cafe, Mediterranean, European, Greek, Wine Bar",2
"Italian, Seafood, Mediterranean, European, Soups, Sicilian, Southern-Italian",2
"Bar, Mexican, International, European, Pub",2
"Spanish, Peruvian, South American",2
"Pizza, Mediterranean, Italian, European, Croatian",2
"Dutch, International, European, Asian, Thai, Healthy, Indonesian",2
"German, Turkish, Middle Eastern",2
"Austrian, International, Barbecue, European",2
"German, Diner, Italian, European, Central European",2
"Barbecue, Steakhouse, Dutch, European",2
"French, Moroccan, Mediterranean, Turkish, Middle Eastern",2
"Chinese, Japanese, Cafe, Asian",2
"Cafe, Brew Pub, Pub",2
"Japanese, Vietnamese, Asian, Chinese",2
"International, French, European, Central European, Fusion",2
"Asian, Wine Bar",2
"Bar, Pub, Central European, Brew Pub, European",2
"American, European, British, Central European",2
"Indian, Fusion, Asian, Nepalese, Sri Lankan",2
"German, Bar, Cafe, European, Pub, Soups",2
"Contemporary, Cafe, Mediterranean",2
"French, Moroccan, International, European, Mediterranean",2
"American, Cajun & Creole, Bar, Cafe, Barbecue, Pub",2
"Italian, Bar, Pizza, Cafe, Mediterranean, Neapolitan, Campania, Southern-Italian",2
"Bar, Spanish, Pub, European",2
"Italian, French, Bar, International, European",2
"Caribbean, Mediterranean, European, Spanish, Cuban",2
"French, Bar, Cafe, European, British, Pub",2
"British, French, Seafood, Street Food, Dining bars",2
"Mediterranean, Turkish, Greek, Middle Eastern, Arabic",2
"European, Croatian, Hungarian",2
"Cafe, Gastropub, Seafood, Dining bars",2
"Brew Pub, Japanese, Asian, Pub, Hawaiian",2
"European, Dutch, Seafood, Mediterranean",2
"French, Pub, Gastropub, Mediterranean",2
"African, Moroccan, Mediterranean, Turkish, Greek",2
"French, Pizza, Spanish, Street Food",2
"French, Mediterranean, Bar, European, Gastropub",2
"Vietnamese, Asian, Seafood",2
"German, Pizza, Central European, Bar, Cafe, European, Pub, Soups",2
"German, Austrian, Pizza, Cafe, Diner, Soups",2
"Mexican, Brazilian, Turkish, South American",2
"Argentinian, Steakhouse, Grill",2
"Sushi, Chinese, Japanese, Thai, Vietnamese",2
"Moroccan, Mediterranean, Middle Eastern, Tunisian, Arabic, Algerian",2
"Mexican, Street Food, Latin, Spanish",2
"Austrian, International, European, Contemporary, Asian, Indonesian",2
"Steakhouse, International, European, Grill, Croatian",2
"Italian, Mexican, European, Turkish, Swedish, Pizza",2
"Wine Bar, Pizza, Cafe, Healthy",2
"Seafood, Diner, Soups, Healthy, Dining bars",2
"Italian, Mediterranean, German, European, Central European",2
"Cafe, Mediterranean, European, Greek, Bar",2
"American, Pub, Diner, Healthy, Gastropub",2
"German, Central European, Dutch, European",2
"Asian, Chinese, Japanese, Sushi, Korean",2
"Steakhouse, German, International, Gastropub, European",2
"Bar, European, Eastern European, Romanian",2
"European, French, German, Seafood, Asian, Central European",2
"Brew Pub, Healthy, German, Mediterranean, Pub",2
"German, European, International, Diner, Healthy",2
"International, European, Diner, Czech, Central European",2
"Mediterranean, Italian, French",2
"Mediterranean, Sicilian, Southern-Italian, Italian, Seafood, Healthy",2
"International, Middle Eastern, Arabic, German, Austrian, European",2
"Grill, German, Cafe, Fast food, Mediterranean, Diner",2
"Thai, Deli, Street Food",2
"Cafe, International, European, Wine Bar, Czech",2
"Mediterranean, Spanish, Wine Bar, Central European, European",2
"Cajun & Creole, Seafood, Fast food, Fusion",2
"European, Argentinian, Dutch, Seafood",2
"Mediterranean, Lebanese, Middle Eastern, Israeli",2
"Lebanese, Mediterranean, Greek, Middle Eastern, Israeli",2
"Spanish, Latin, European",2
"Belgian, European, French, Seafood, Pub, Gastropub",2
"Fast food, Balti, Eastern European",2
"Italian, Steakhouse, Barbecue, Wine Bar",2
"Pizza, European, Grill, Italian",2
"European, Slovenian, Eastern European, Croatian, Armenian",2
"European, British, Australian, Cafe",2
"Mexican, Steakhouse, Latin, Bar, Spanish",2
"German, Seafood, Mediterranean, European, Grill, Diner",2
"Steakhouse, German, International, European, Healthy, Pizza, Diner",2
"Pizza, Mediterranean, Pub, Dining bars",2
"Cafe, Fast food, Greek, Healthy",2
"Pizza, Italian, Healthy, Mediterranean",2
"French, Asian, Korean, Fusion, European",2
"Mediterranean, European, Sicilian, Southern-Italian",2
"German, Guatemalan, South American",2
"Chinese, Sushi, Asian, Japanese Fusion",2
"French, Mediterranean, European, Asian, Contemporary, Healthy",2
"Seafood, Italian, Deli",2
"German, Asian, Deli, Mediterranean",2
"Central European, British, European",2
"German, Fast food, Turkish, Grill",2
"French, Pub, Gastropub, Seafood",2
"European, German, Gastropub, Central European",2
"German, International, Indian",2
"Italian, Bar, Diner",2
"Mediterranean, Fast food, European, Spanish",2
"American, Barbecue, Grill, Balti",2
"International, Grill, German, Central European",2
"Mexican, Cafe, Fast food, Street Food",2
"German, Bar, Barbecue, Pub, Wine Bar",2
"Mexican, Pizza, Middle Eastern",2
"Mediterranean, Barbecue, Spanish, European, Grill",2
"Bar, Cafe, Beer restaurants",2
"French, International, Deli, Fusion",2
"European, Grill, Pub, Diner, Argentinian, South American",2
"European, American, British",2
"Italian, Pizza, Mediterranean, International, Grill",2
"European, Swedish, Scandinavian, International, Contemporary",2
"American, Steakhouse, Bar, European, Pub, Central European",2
"French, Irish, Brew Pub, Pub, Diner",2
"Cafe, British, International, Deli",2
"Austrian, Cafe, International, European, Grill, Soups, Central European",2
"American, Steakhouse, Bar, Cafe, Pub",2
"Japanese, American, Asian, Korean",2
"Steakhouse, German, International, European, Diner, Central European",2
"Steakhouse, Barbecue, Grill, Southern-Italian",2
"Caribbean, Lebanese, Middle Eastern, Cuban, Mediterranean",2
"Bar, American, Steakhouse, Barbecue, Grill",2
"Belgian, European, Contemporary, Gastropub",2
"Italian, American, Pizza, Pub, Gastropub",2
"Street Food, Dutch, Cafe, European",2
"Italian, Steakhouse, Bar, Cafe, Fast food",2
"French, Wine Bar, Brew Pub, Diner",2
"Indian, Mediterranean, Thai, Deli",2
"Brew Pub, Pub, French, Bar, Wine Bar",2
"Italian, Seafood, Pizza, Mediterranean, Tuscan, Central-Italian",2
"French, Pizza, Italian, Cafe, European",2
"Spanish, Bar, Cafe, Mediterranean, European, Pub",2
"French, International, Asian, Middle Eastern",2
"Healthy, Middle Eastern, Arabic, Mediterranean, European",2
"International, French, Caribbean, Deli",2
"Lebanese, Fast food, Mediterranean, Greek, Healthy",2
"Seafood, European, Grill, Scandinavian",2
"European, Dutch, Spanish",2
"Steakhouse, Dutch, International, European",2
"Bar, Greek, Pub, Gastropub",2
"Italian, American, Dutch, European, Deli",2
"Diner, Healthy, Austrian, European, Central European",2
"Pizza, Fast food, Greek, Healthy",2
"Bar, Fast food, British",2
"Bar, Barbecue, European, Grill, Portuguese",2
"German, Bar, Grill, Pub, Diner, Wine Bar",2
"Indian, Thai, British",2
"Bar, Cafe, Pub, Wine Bar, Street Food",2
"American, German, Campania, Southern-Italian",2
"Bar, International, Gastropub, Central European",2
"Japanese, Bar, Cafe, Pub",2
"Mediterranean, European, German, Deli",2
"Fast food, Middle Eastern, Lebanese, Healthy",2
"Steakhouse, Barbecue, Argentinian, International",2
"European, Eastern European, Russian",2
"Central European, German, International, European, Grill",2
"Italian, Mediterranean, Sicilian, Southern-Italian, Seafood, European",2
"French, Cafe, Fast food, Barbecue, Wine Bar",2
