cuisines,count
"Italian, Mediterranean, Romana, Lazio, Central-Italian",454
Caribbean,453
"British, Scottish",452
Northern-Italian,448
"Italian, German",443
"Cafe, International",436
"French, European, Wine Bar",435
"European, Swedish, Scandinavian",434
"Mexican, Fast food",434
"French, Italian",431
"Irish, Bar, Pub",430
"Pub, Bar",429
"Middle Eastern, Persian",426
"Seafood, British",424
"Fast food, Pizza",420
"Cafe, European, Portuguese",417
"Seafood, Mediterranean",413
"Italian, Deli",410
"Seafood, French",410
"Indian, Pakistani",407
"Croatian, European",407
"Indian, Fast food",407
"Mediterranean, Italian",404
"German, Austrian, European, Central European",402
"French, Bar, Cafe, European",401
"Chinese, Asian, Thai",401
"Italian, Southern-Italian",399
Eastern European,399
Austrian,398
"Seafood, Mediterranean, European, Greek",397
"European, Portuguese, Mediterranean",394
"Italian, Bar",393
"Chinese, Sushi",390
"French, Barbecue",388
"Italian, Bar, Cafe",377
"Turkish, Fast food",375
"Sushi, Asian",375
"Steakhouse, Barbecue",374
"Chinese, Sushi, Asian",373
"Italian, Northern-Italian",372
"Italian, Seafood, Mediterranean, Neapolitan, Campania, Southern-Italian",369
"Seafood, Fast food",366
"Seafood, Italian, Mediterranean",362
"Spanish, Bar, Pub",361
"American, Cafe",360
"Irish, Cafe",356
"Portuguese, Mediterranean, European",356
"Indian, Middle Eastern, Pakistani",356
"European, German",351
"Cafe, Greek",349
"Pizza, Italian, Mediterranean",348
"French, Dutch, European",348
"Polish, European, Central European",347
"Bar, Pub, Italian",346
"Italian, Seafood, Mediterranean, Tuscan, Central-Italian",343
"Chinese, Asian, Japanese",341
"Brazilian, South American",340
"Italian, Pizza, Seafood, Mediterranean, Sicilian, Southern-Italian",337
"Spanish, Cafe",336
"Irish, Bar, European, Pub",335
"British, Pub, Bar",335
"Irish, European",332
"French, Mediterranean, European, Healthy",330
"African, Ethiopian",329
"Seafood, Greek",329
"Italian, Sicilian, Southern-Italian",328
"Cafe, British, Healthy",328
"Bar, Mediterranean, Spanish",322
Central-Italian,322
"European, Greek",320
"Indian, Balti",320
"Italian, Pizza, Mediterranean, Seafood",320
"Bar, British, Pub, Welsh",320
"French, Seafood, Mediterranean, European",319
"Pizza, Italian, Fast food",319
"Indian, Balti, Asian",318
"Mediterranean, Spanish, Healthy",317
"Austrian, Central European, European",317
"Pizza, European",317
"Bar, European",313
"International, Spanish",313
Arabic,313
"Belgian, Fast food, European",311
"Indian, Asian, Nepalese",310
Hawaiian,308
"Fast food, Street Food",307
"Italian, French, Pizza, European",306
"Italian, Seafood, Mediterranean, Pizza",306
"Pizza, Turkish",306
"American, Bar",306
"German, Bar, European, Central European",306
"French, Dining bars",305
"Cafe, Dutch, European",304
"Italian, Seafood, Mediterranean, Sardinian, Southern-Italian",303
"Italian, Spanish",303
"Italian, Pizza, Barbecue",301
"Italian, Pub",298
"German, Mediterranean",297
"Italian, Seafood, Mediterranean, Barbecue",297
