restaurant_name,country_name,city_name,cuisines
Mozzarella Pizza,France,Le Rouret,"Italian, French"
Le Leck,France,Le Rouret,"Lebanese, Middle Eastern, Mediterranean"
A l'Endroit,France,Le Rouret,"Italian, Brew Pub, Pizza, Wine Bar"
Chez Chouquette,France,Le Rouret,French
Le Moulin d'Honore,France,Le Rouret,"Italian, French, Cafe, Fusion, Street Food"
Simplement Bon,France,Le Rouret,
Mezcla Loca,France,Le Rouret,
Restaurant Le 67,France,Le Rouret,"French, European"
Hollywood Pizza,France,Le Rouret,"Pizza, Italian"
Bistro du Clos,France,Le Rouret,"French, European"
Vino Rocco,France,Le Rouret,"Italian, French, Pizza"
Shiva,France,Le Rouret,Indian
Hostellerie de L'aristou,France,Barbazan,French
Restaurant Le Louisiane,France,Barbazan,French
Le Belem,France,Miniac-Morvan,
La P'tite Ferme,France,Miniac-Morvan,French
L'Eden Brug,France,Miniac-Morvan,"French, Grill, Gastropub, Seafood, Diner"
Au Bon Accueil,France,Miniac-Morvan,
La Gare,France,Miniac-Morvan,
Le Skiff Club,France,Pyla-sur-Mer,French
Hotel Ha(a)itza,France,Pyla-sur-Mer,French
Restaurant La Guitoune,France,Pyla-sur-Mer,French
Chez Aldo,France,Pyla-sur-Mer,"French, Asian, Fusion"
Dune Passions,France,Pyla-sur-Mer,
Restaurant La Co(o)rniche,France,Pyla-sur-Mer,"European, Healthy"
La Cabane du Pyla,France,Pyla-sur-Mer,"French, European"
Restaurant Etche Ona,France,Pyla-sur-Mer,"Italian, French, European"
Le Petit Nice plage - Pyla-sur-Mer,France,Pyla-sur-Mer,"European, French"
Aux Deux Chenes,France,Pyla-sur-Mer,"French, European"
La Case à Lolo,France,Pyla-sur-Mer,French
L'authentic,France,Pyla-sur-Mer,French
LA SUITE 257,France,Pyla-sur-Mer,"French, European"
La Maison Blanche,France,Pyla-sur-Mer,"Italian, French, Pizza"
Café Ha(a)ïtza,France,Pyla-sur-Mer,"French, European"
Bar Du Vigneron,France,Cucugnan,French
Restaurant de l'Auberge de Cucugnan,France,Cucugnan,"French, Mediterranean, European, Catalan"
Restaurant de l'Auberge du Vigneron,France,Cucugnan,"French, European"
Les Maitres de Mon Moulin,France,Cucugnan,French
Adeline Et Yoan Traiteur,France,Puivert,French
Clement Salek,France,Puivert,Pub
La Buvette du Lac,France,Puivert,"Bar, French, European"
Le Pamir,France,Puivert,"Middle Eastern, Afghani"
Le Refuge Gourmand,France,Puivert,French
Guinguette Au Bout de l'île,France,Montjean-sur-Loire,"French, Seafood"
Auberge de la Loire,France,Montjean-sur-Loire,"French, European"
Chez les filles,France,Montjean-sur-Loire,"French, Grill"
La Petite Cuisine,France,Degagnac,"French, Pizza, European, Pub"
L'auberge sans Frontiere,France,Degagnac,"French, European"
Centre Equestre du Passe-Temps,France,Degagnac,"French, Barbecue"
C la p'Oz,France,Ozoir-la-Ferriere,"European, Italian, French, Fusion"
Auberge de la Gueulardiere,France,Ozoir-la-Ferriere,"French, European"
San Francisco,France,Ozoir-la-Ferriere,"Portuguese, European"
Fedora,France,Ozoir-la-Ferriere,Italian
Le 8 Restaurant,France,Ozoir-la-Ferriere,French
Les Box de Flo,France,Ozoir-la-Ferriere,"French, Fast food, Deli, Soups"
l'Arrozoir,France,Ozoir-la-Ferriere,French
O'Time Oz,France,Ozoir-la-Ferriere,
